 npm run typecheck	2026-09-20T01:29:13.8409934Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(416,24): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8411320Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8412374Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(417,24): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8413665Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8414683Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(418,24): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8415903Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8417019Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(422,23): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8418317Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8419335Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(423,23): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8420819Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8421721Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(424,23): error TS2339: Property 'values' does not exist on type 'Patch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8422640Z   Property 'values' does not exist on type 'BlockedPatch'.
quality (node 24)	Run npm run typecheck	2026-09-20T01:29:13.8423664Z ##[error]packages/core/test/integration/phase7-walker-demo.test.ts(492,31): error TS2339: Property 'values' does not exist on type 'Patch'.
