st -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2343330Z  ^[[31m❯^[[39m packages/core/test/unit/runtime/motion-consistency.test.ts ^[[2m(^[[22m^[[2m11 tests^[[22m^[[2m | ^[[22m^[[31m11 failed^[[39m^[[2m)^[[22m^[[32m 50^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2373706Z ^[[31m     ^[[31m×^[[31m retains an installed trigger when cleanup throws Error: Old driver cleanup failed.^[[39m^[[32m 14^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2382933Z ^[[31m     ^[[31m×^[[31m retains an installed trigger when cleanup throws undefined^[[39m^[[32m 1^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2422085Z ^[[31m     ^[[31m×^[[31m preserves the old driver when replacement create refuses^[[39m^[[32m 1^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2424109Z ^[[31m     ^[[31m×^[[31m preserves the old driver when replacement subscribe refuses^[[39m^[[32m 1^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2426094Z ^[[31m     ^[[31m×^[[31m publishes changed and cleared stagger only after definition adoption without graph work^[[39m^[[32m 1^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2428081Z ^[[31m     ^[[31m×^[[31m refuses invalid stagger and skips unchanged stagger without publication^[[39m^[[32m 1^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2430229Z ^[[31m     ^[[31m×^[[31m atomically refuses same-ID motion recreation with trigger { type: 'time', duration: 1000 }^[[39m^[[32m 14^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2432471Z ^[[31m     ^[[31m×^[[31m atomically refuses same-ID motion recreation with trigger { type: 'manual' }^[[39m^[[32m 5^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2434372Z ^[[31m     ^[[31m×^[[31m atomically refuses track lifetime reuse, motion-owned=false^[[39m^[[32m 1^[[2mms^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-07T11:44:59.2436030Z ^[[31m     ^[[31m×^[[31m atomically refuses track lifetime reuse, motion-owned=true^[[39m^[[32m 1^[[2mms^[[22m^[[39m
