 npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8689069Z ^[[32m- Expected^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8689557Z ^[[31m+ Received^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8689829Z 
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8690083Z ^[[32m- false^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8690536Z ^[[31m+ true^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8690781Z 
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8691664Z ^[[36m ^[[2m❯^[[22m packages/core/test/unit/runtime/patch-status-payload.test.ts:^[[2m116:33^[[22m^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8693055Z     ^[[90m114|^[[39m     // An empty record is a payload a reader would spend a narrowing o…
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8694295Z     ^[[90m115|^[[39m     // member rather than about what the carry-forward happened to fin…
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8695899Z     ^[[90m116|^[[39m     ^[[34mexpect^[[39m(^[[32m"values"^[[39m ^[[35min^[[39m blocked)^[[33m.^[[39m^[[34mtoBe^[[39m(^[[35mfalse^[[39m)^[[33m;^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8697432Z     ^[[90m   |^[[39m                                 ^[[31m^^[[39m
quality (node 24)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-20T00:58:59.8698921Z     ^[[90m117|^[[39m     ^[[34mexpect^[[39m(^[[32m"sourceProgress"^[[39m ^[[35min^[[39m blocked)^[[33m.^[[39m^[[34mtoBe^[[39m(^[[35mfalse^[[39m)^[[33m;^[[39m
